COc1ccc(cc1)C(O)=O OC(=O)c1ccc(c(c1)C(O)=O)[N+]([O-])=O
OC(=O)COC1=C(Cl)C=CC(=C1)Cl CCOC1=CC=C(N(C)C(N)=O)C=C1
Oc1c(Br)cc(C(O)=O)c(O)c1 Cc1ccc(cc1)[S](N)(=O)=O
C=COC(=O)c1ccccc1 CC(O)CN(CC(C)O)C(=O)COC(=O)C1=CC=CC=C1
CC(=O)CC(=O)c1ccccc1 COC(=O)C(N)CC1=CC(=C(O)C=C1)O
CCC(=O)c1ccc(N)cc1 O=C(NC(CO)C(=O)O)C1=CC=CC=C1
OC(=O)C1=CC(=CC=C1)C#N CC(=O)CCc1ccc(O)cc1
CCN(CC)[S](=O)(=O)C1=CC=C(N)C=C1 CC(C(=O)N(C)C)S(=O)(=O)C1=CC=CC=C1
OC(=O)C1=C(C(=CC=C1)Cl)[N+]([O-])=O O=C(O)c(ccc(O)c1)c1
[O-]C(=O)c1cccc(Cl)c1[N+]([O-])=O CN[C@@H](C)[C@@H](O)c1ccccc1
OC(=O)c1cc(C=O)ccc1O OC(=O)C(=O)C1=CC=CC=C1
OC(=O)/C=C/c1cccc(Br)c1 CC(=O)Nc1ccc(cc1)[S](N)(=O)=O
Oc1cc(Cl)ccc1[N+]([O-])=O Cc1cc(O)ccc1O
CCC(=O)c1ccc(O)cc1 Oc1ccc(cc1)[S](O)(=O)=O
CC(=O)NC1=C(I)C=C(I)C(=C1I)C(O)=O CN(C)C(=O)COC(=O)c1ccccc1
CSCOC(=O)c1ccccc1OC(C)=O COC(=O)OC1=CC=C(NC(C)=O)C=C1
Oc1c(Cl)ccc(Cl)c1Cl COc1ccc(C=O)cc1
CC=CC(=O)Nc1ccc(O)cc1 CCCCCOC(=O)C(N)CC1=CC(=C(O)C=C1)O
CC(C#C)N(C(=O)CCl)c1ccccc1 CC(=O)Oc1ccccc1
CCCC(O)(CCC)C(O)c1ccccc1 Nc1cc(cc(c1O)[S](O)(=O)=O)[N+]([O-])=O
OC(=O)C1=C(O)C=CC(=C1)Br CC(=O)CCc1ccccc1
CCCN(CCC)C(=O)COC(=O)C1=CC=CC=C1OC(C)=O Cc1ccc(NO)cc1
NC(Cc1ccc(O)cc1)C(O)=O Cc1ccccc1[S](N)(=O)=O
COC(=O)c1ccc(cc1[N+]([O-])=O)C(O)=O OC(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O
CC(C)OC1=C(C=C(C=C1)[N+](=O)[O-])N O=C(O)CSC(C(=O)O)C1=CC=CC=C1
COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)NC(=O)C(F)(F)F OCCNC(=O)c1cc(O)ccc1O
CC(CCO)CCc1ccccc1 Cc1ccc(O)c(C)c1
COc1ccc(cc1[N+]([O-])=O)C(O)=O OC(=O)c1cc(Cl)ccc1O
N[S](=O)(=O)c1ccc(SCCCCCO)cc1 CN(C)C(=O)C(=O)N(N(C)C(C)=O)c1ccccc1
Fc1cccc(Br)c1 CC(=O)Nc1ccc(F)cc1C
[O-][N+](=O)c1ccc(F)c(c1)[N+]([O-])=O CNC(CC1=CC(O)=C(O)C=C1)C(=O)O
[O-][N+](=O)c1cc(c(Cl)c(c1)[N+]([O-])=O)[N+]([O-])=O Cc1ccccc1N
CCOC(=O)OC1=CC=C(NC(C)=O)C=C1 COC1=CC=CC=C1C(O)=O
OC1=CC=C(C=C1)N=C=S Nc1ccc(N)cc1
CC1=C(Cl)C(=CC(=C1)O)C COc1ccccc1OCC(O)COC(N)=O
Oc1ccc(Cl)c(Cl)c1Cl COc1ccc(C=O)cc1O
Oc1cc(Cl)cc(Cl)c1Cl CC(=O)Nc1ccccc1Cl
CCCOC(=O)c1ccccc1 NCC(=O)NCC(=O)NC1=C(Cl)C(=C(C=C1[S](N)(=O)=O)[S](N)(=O)=O)Cl
COc1ccc(OC)c(Cl)c1 CC(=O)NC1=CC=C(OP(O)(=O)O)C=C1
Cc1ccc(c(O)c1)C(C)(C)C CCNC(=O)[C@H](C)OC(=O)Nc1ccccc1
CCCCN[S](=O)(=O)c1ccccc1 OCCOC(=O)c1ccccc1O
Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O O=C(Nc(ccc(c1)F)c1)C
O=C(O)CSC(=S)OCC1=CC=CC=C1 NNc1cccc(c1)[S](O)(=O)=O
CCCOC(=O)C1=CC=C(O)C=C1 OC1=CC(=CC=C1)Cl
COC1=CC(OC)=CC(OC)=C1 CC(O)C(C)Cc1ccccc1
CNC(=O)Oc1ccccc1C(C)C Nc1ccc(O)cc1[N+]([O-])=O
OC(=O)COc1ccc(Cl)c(Cl)c1 Cc1ccc(cc1N)C(N)=O
COc1ccccc1C Nc1ccccc1N
OC(=S)COC1=C(Cl)C=C(Cl)C=C1 Cc1ccc(N)cc1N
O=C(Nc(ccc(c1)N(=O)=O)c1)C NC(=O)Nc1ccc(Br)cc1
Cc1ccc(O)c(c1)C(C)(C)C Cc1cc(C)cc(N)c1
Fc1ccccc1Br CC(C)c1ccc(N)cc1
OC(=O)c1cccc(Br)c1 Nc1ccc(cc1[S](O)(=O)=O)[S](O)(=O)=O
CCOCCOC(=O)/C=C/c1ccc(OC)cc1 Oc1ccccc1O
C1=CC(=CC=C1NC(=O)NCCC(=O)O)[N+](=O)[O-] COC1=CC=CC(=C1)C(N)=O
COc1cc(CC=C)ccc1OC(C)=O CN(C)C(=O)c1ccccc1C(=O)N(C)C
CC(=O)C1=CC=C(NN=C(C#N)C#N)C=C1 CC(=O)C(O)c1ccccc1
CN(C)Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C CN(C)c1ccccc1
CCOc1ccc(cc1)C(=O)OCCN(CC)CC CN(CCCCC(O)=O)[S](=O)(=O)c1ccccc1
CC(NC(=O)COC(=O)c1ccccc1)C(N)=O COC(=O)c1ccccc1
CCC(C)OC(=O)c1cccc(c1C([O-])=O)[N+]([O-])=O Cc1cc(Cl)cc(C)c1O
CCC(=O)OC1=CC=C(NC(C)=O)C=C1 COC(Cc1ccccc1)OC
O=C(O)C=CC(=O)NC1=CC=CC=C1 CN(C)CNC(=O)C1=CC=CC=C1
Fc1ccc(cc1)C(=O)CCCCl OC(=O)c1cccc(C(O)=O)c1C(O)=O
O=C(CC#N)Nc1ccccc1 [NH3+][C@@H](C([O-])=O)c1ccccc1
CCc1cccc(C)c1N(C(C)COC)C(=O)CCl NC(=O)c1ccc(N)cc1
OC(=O)c1ccccc1I COc1ccc(OC)c(N)c1
CC(C)NC(=O)COC(=O)c1ccccc1 COc1ccc(OC)c(NC(C)=O)c1
COC(=O)\C=C\c1ccccc1 COc1cc(C([O-])=O)c(cc1OC)[N+]([O-])=O
CNC(=O)Sc1ccc(O[S](C)(=O)=O)cc1 OC(=O)c1c(Cl)ccc(Cl)c1Cl
CC(C)COC(=O)c1cc(N)c(Cl)c(N)c1 CN(C)Cc1ccccc1Cl
COc1cc(C=O)c(C)cc1O COc1ccc(NC(N)=O)cc1
OCc1ccc(I)cc1 COc1ccccc1[N+]([O-])=O
Cc1ccc(NCCO)c(c1)[N+]([O-])=O CC(C)(NC(=O)c1ccccc1)C(N)=O
Clc1ccc(cc1)C#N OCC(CO)(CO)NC(=O)COC(=O)C1=CC=CC=C1
CCC(C(=O)NC(N)=O)(C(=O)OC)C1=CC=CC=C1 OCCN(CCO)c1ccccc1
Cc1ccc(c(O)c1)[N+]([O-])=O NCc1ccc(cc1)[S](N)(=O)=O
CCCCNC(=O)COC(=O)c1ccccc1 CC(C)(NC(=O)C1=CC=CC=C1)C(=O)NCC(=O)O
CC1=CC(=C(O)C=C1)C(O)=O NC(=O)OCC1=CC=CC=C1
OC(=O)C1=CC=C(Cl)C(=C1)[N+]([O-])=O Oc1ccc(Cl)cc1Cl
[O-][N+](=O)c1cccc(Cl)c1 CCOc1cc(C=O)ccc1O
Cc1ccc(cc1[N+]([O-])=O)[S](C)(=O)=O Cc1ccc(N)cc1Cl
Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O CC(C)(O)C(=O)c1ccc(OCCO)cc1
OC(=O)/C=C(Cl)/C1=CC=CC=C1 CC(CCC(O)=O)NC(=O)c1ccccc1
c1ccccc1CC O=C(Nc(ccc(c1)OC)c1)C
CC(C)(C)OOC(=O)c1ccccc1 O=[I](=O)c1ccccc1
COc1ccc(\C=C\C)cc1OC CCOc1ccc(cc1)N(C(C)=O)C(C)=O
COc1ccc(Cl)cc1 CCN(CCO)C(=O)COC(=O)C1=CC=CC=C1
CC(=O)NC1=CC=C(C=C1)[S](=O)(=O)NC(C)=O O=COCc1ccccc1
COc1cccc(Cl)c1 CC(=O)C(CC(O)=O)=Cc1ccccc1
CC(C)c1ccc(C=O)cc1 N#CCCNC(CC1=CC=CC=C1)C(=O)O
Cc1cc(C)c(c(C)c1)[PH](O)=O CC(=O)NC1=CC=CC(=C1)O
CC(=O)OC\C=C\c1ccccc1 OCc1ccc(Br)cc1
CCc1ccccc1[N+]([O-])=O CNC(=O)Oc1cc(C)cc(C)c1C
O=C(O)c(ccc(N(=O)=O)c1)c1 CN(C)C(=O)C1=CC=C(Cl)C=C1
C=CCOC1=C(C=C(C=C1)[N+](=O)[O-])N CCN(CC)C(=O)C(C)OC(=O)C1=CC=CC=C1OC(C)=O
ClC(Cl)c1ccccc1 COCCN(CCOC)C(=O)COC(=O)C1=CC=CC=C1
OC(=O)COc1cccc(Cl)c1Cl Cc1ccccc1N=C(N)N=C(N)N
[O-][N+](=O)c1ccc(Cl)cc1 C=C[S](=O)(=O)Nc1ccccc1
Cc1ccc(C)cc1 CCCCN(C(N)=O)c1ccccc1
Cc1ccccc1C OCc1ccc(Cl)cc1
COC(=O)c1cccc(c1)C(=O)OC NCCCNc1ccccc1
CCO[P](=S)(OCC)Oc1ccc(N)cc1 OC(=O)c1cc(O)c(O)c(O)c1
O=Cc1ccc(C=O)cc1 C[C@H](N)[C@@H](O)c1ccccc1
Cc1cccc(CC(C)(C)CO)c1 COc1ccc(CCC#N)cc1OC
CC(Oc1ccc(Cl)cc1Cl)C(O)=O Oc1ccccc1C#N
CCCC(=O)OC1=CC=C(NC(C)=O)C=C1 CC(C(=O)O)NC(=O)C1=CC(=CC=C1)[N+](=O)[O-]
COc1cc(\C=C\C(O)=O)cc(OC)c1OC OC1=CC=C(I)C=C1
Cc1cccc(C)c1 OC1=CC=C(C=C1)[N+]([O-])=O
COC(=O)c1ccc(C(=O)OC)c(c1)[N+]([O-])=O O=C(N)c(c(O)ccc1)c1
CC(=O)OC1=CC=C(C=C1)\C=N\NC(N)=O CC(CC(=O)NC1=CC=CC=C1)C(=O)O
O=C(Nc(ccc(c1)Cl)c1)C OCc1ccccc1
COc1ccc(O)c(c1)[N+]([O-])=O OCCOC1=CC=C(OCCO)C=C1
Nc1ccc(cc1)C(F)(F)F CC(NC(=O)c1ccccc1)C(O)=O
Cc1ccc(cc1[N+]([O-])=O)C(O)=O Cc1cc(O)ccc1N
CCCCC(=O)N(C)C1=CC=C(C=C1)[S](=O)(=O)N(C)C OC(=O)Cc1cccc(O)c1
CC(C)c1ccc(O)cc1C c1ccccc1
CSc1cc(SC)c(N)c(C)c1N CC(C)(C)c1ccc(O)c(O)c1
CC(C)O[P](=O)(OC(C)C)SCc1ccccc1 O=N(=O)c(cccc1)c1
N[C@@H](Cc1cc(I)c(O)c(I)c1)C(O)=O COC(=O)c1ccc(cc1C([O-])=O)[N+]([O-])=O
NC(CC1=CC(=C(O)C(=C1)I)I)C(O)=O COc1ccc(cc1N)[S](O)(=O)=O
CN(C(C)=O)C(=O)COC(=O)c1ccccc1 COc1cc(Cl)ccc1O
CC(C)(C)NC(=O)COC(=O)c1ccccc1 NC(=O)NCc1ccccc1
CN(C(=O)C1=CC=C(C=C1)[N+](=O)[O-])O Oc1ccc(O)c(C=O)c1
COc1c(O)cc(Cl)c(Cl)c1Cl Cc1cc(C)cc(O)c1
COC(=O)c1ccc(O)c(Cl)c1 CC(O)C(NC(=O)C1=CC=CC=C1)C(=O)O
COc1cc(C=O)cc(Cl)c1O COC1=C(C(O)=O)C(=CC=C1Cl)Cl
CC(=O)Nc1ccc(cc1)[S](Cl)(=O)=O N[S](=O)(=O)c1ccc(CCCCCO)cc1
CC(C)OC(=O)c1ccccc1C(=O)OC(C)C Nc1ccc(C(O)=O)c(O)c1
CNc1ccccc1C(O)=O COc1cc(ccc1C(O)=O)C(O)=O
C=CCC1=C(OCC(O)CNC(C)C)C=CC=C1 Nc1cc(ccc1C(O)=O)[S](O)(=O)=O
CN(C)C=NC1=C(C)C=C(Cl)C=C1 Cc1ccccc1O
[O-][N+](=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O CCN(CC)C(=O)NC1=CC(=C(OCC(O)CNC(C)(C)C)C=C1)C(C)=O
CC(=O)N[C@@H](CSc1ccc(Cl)c(Cl)c1)C(O)=O COc1ccc(O)cc1
CN(C)C(=O)NC1=CC=C(Cl)C=C1 CCC(C)c1ccccc1O
CCCC(CCC)(C(=O)NO)C1=CC=CC=C1 OC(C(O)c1ccccc1)C(O)=O
CC(=O)NC(CSC1=CC(Cl)=C(Cl)C=C1)C(=O)O Nc1cccc(c1)[N+]([O-])=O
CON(C)C(=O)Nc1ccc(Br)cc1 COC(=O)C1=CC=CC=C1OC(C)=O
C=CCO[P](=O)(OCC=C)c1ccccc1 OC(=O)c1cccc(Cl)c1C(O)=O
CCOC(=O)CCc1ccccc1 CCc1cccc(C)c1N
Cc1ccc(C(N)=O)c(O)c1 CCOC(=O)C(C)(C)NC(=O)C1=CC=CC=C1
OC(=O)Cc1ccc(Cl)cc1Cl OC(=O)C1=CC=CC(=C1C(O)=O)O
CC1=CC(=C(C)C=C1)C(O)=O COC1=CC(C(=O)O)=C(C(=O)O)C=C1O
COc1ccc(CC=C)cc1 OCc1cccc(CO)c1
COc1ccc(O)c(c1)C(C)(C)C CCN(CC)C(=O)COC(=O)C1=CC=CC=C1OC(C)=O
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1 OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O
[O-][N+](=O)c1cccc(C#N)c1C#N Nc1cccc(c1)C(O)=O
OC(=O)COC1=CC(=C(Cl)C(=C1)Cl)Cl OCc1ccc(Cl)c(Cl)c1
CC(C)COC(=O)c1ccc(N)cc1 CN(C(N)=O)c1ccccc1C
COc1ccc(cc1OC(C)=O)[N+]([O-])=O OCCCNc1ccc(O)cc1[N+]([O-])=O
OC1=CC=CC(=C1)NN=C(C#N)C#N Cc1ccc(O)cc1C
CCCCCC(=O)N(C)C1=CC=C(C=C1)[S](=O)(=O)N(C)C Fc1ccccc1
Oc1ccc(C=O)cc1[N+]([O-])=O O=CNc1ccccc1
CC(=C)C(=O)OCCOc1ccccc1 CC(=O)\C=C\c1ccccc1
COC(=O)COc1ccc(Cl)cc1Cl O[S](=O)(=O)OCCOc1ccc(Cl)cc1Cl
OC(=O)/C(S)=C/C1=CC=CC=C1 Oc1cc(Cl)ccc1Cl
OC(=S)COC1=C(Cl)C=C(Cl)C(Cl)=C1 CN(CC(N)=O)C(=O)COC(=O)C1=CC=CC=C1
COC1=C(Cl)C=C(Cl)C(OC)=C1O CCCc1cc(F)ccc1O
CCO[P](=O)(NC(C)C)Oc1ccc(SC)c(C)c1 OCc1ccccc1[N+]([O-])=O
CCCN(CCC)c1c(cc(C)cc1[N+]([O-])=O)[N+]([O-])=O OC(=O)c1cccc(c1O)[N+]([O-])=O
OC(=O)c1ccc(Br)c(c1)[N+]([O-])=O COC1=CC(=CC=C1)C(O)=O
CC(=C)C(=O)OCc1ccccc1 OC(=O)\C=C/c1cccc(O)c1
COC(=O)C1=CC=C(C(=O)O)C=C1 OC(=O)CONC(=O)C1=CC=CC=C1
CC1=CC(=C(C=C1)C(O)=O)C OC(=O)C(=O)c1c(cccc1C(O)=O)C(O)=O
CCCCOC(=O)c1ccc(O)cc1 Oc1ccc(Cl)c(O)c1
COc1cc(NC(=O)CC(C)=O)c(OC)cc1Cl CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
OC(=O)COC1=C(Cl)C=C(Cl)C(=C1)Cl Cc1ccc(Cl)cc1N
Cc1cc(O)c(Cl)c(C)c1Cl Oc1ccccc1Cl
CCC(=O)Nc1ccc(Cl)c(Cl)c1 COC1=C(O)C=CC(C(=O)CO)=C1
CC(C)c1ccc(cc1)C#N CC(=O)CC(=O)Nc1ccccc1
CCC(C)(C)c1ccc(O)cc1 COC(=O)C[S](=O)(=O)c1ccccc1
COC1=CC=CC(OCC(O)CO)=C1OC Cc1cccc(O)c1[N+]([O-])=O
OC(=O)COC1=C(Cl)C(=CC(=C1)Cl)Cl NC(CC1=CC=C(O)C=C1)C(=O)NCC(=O)NCC(=O)O
O=C(OCC)C=Cc(cccc1)c1 OCC(O)COc1ccc(Cl)cc1
Cc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O Nc1cccc(c1)[S](=O)(=O)CCO[S](O)(=O)=O
Cc1c(cccc1[N+]([O-])=O)[N+]([O-])=O OC(C(O)=O)c1ccccc1
CC(C)OC(=O)Nc1ccccc1 CC(O)CC(C)(C)c1ccccc1
CC(Cc1ccccc1)(C=C)C#N Cc1ccc(cc1)[S](C)(=O)=O
Cc1cccc(c1C)[N+]([O-])=O CC(=O)N[S](=O)(=O)C1=CC=C(N)C=C1
COc1cc(Cl)c(OC)cc1N COC(=O)Cc1ccccc1
CNC[C@H](O)c1ccc(O)c(O)c1 COc1ccccc1N
CC(=C)c1ccccc1 CC(=O)Nc1ccccc1[N+]([O-])=O
[O-][N+](=O)c1ccc(Cl)cc1Cl OC(=O)C1=C(Br)C=CC=C1
C(c1ccc(cc1)NCCCC)(=O)OCCN(C)C NCCc1ccc(O)c(c1)[N+]([O-])=O
CC(C)(C)C(=O)OC1=C(C=CC=C1)C(O)=O CC1=CC=CC(=C1C(O)=O)O
Ic1ccccc1 N[C@@H](Cc1cc(Br)c(O)c(Br)c1)C(O)=O
CCOC(=O)\C=C\c1ccccc1 NS(=O)(=O)C1=CC=C(NO)C=C1
COc1ccc(OC)c(c1)[N+]([O-])=O NC(=O)c1cccc(c1)[S](N)(=O)=O
CC(C)C(=O)OCCOc1ccccc1 COC(CC(O)=O)c1ccccc1
CCN(CC)c1ccccc1 COC(C)C(NC(=O)C1=CC=CC=C1)C(=O)O
CCN(CCCl)c1ccc(C=O)cc1 CCN(CCO)c1ccccc1
Cc1cc(ccc1N)[N+]([O-])=O CCc1cc(C)cc(O)c1
CC(C)c1ccc(cc1)C(O)=O OC(=O)COc1ccccc1[N+]([O-])=O
COC(=O)C1=CC=C(C=C1)[N+](=O)[O-] CN(C)C(=O)COC(=O)C1=C(O)C=CC=C1
Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O COC(=O)c1ccccc1N
CC(C)Cc1ccc(cc1)C(C)C(=O)NO CC(=O)C(OC1=C(Cl)C=CC=C1)C(=O)O
CCOC(=O)C(C)(C)c1ccccc1 OC(=O)c1c(Br)c(O)c(O)c(O)c1Br
CCCCC/C(C=O)=C/c1ccccc1 CC(=O)NC1=C(O)C=CC=C1
CC(C)(C)OC(=O)c1cccc(c1C([O-])=O)[N+]([O-])=O OCNC(=O)C1=CC=CC=C1
COC1=C(O)C=CC(=C1)\C=C\C(O)=O COc1ccc(C=O)c(C(O)=O)c1OC
COS(=O)(=O)C1=CC=C(C(=O)O)C=C1 CC(=O)CC(=O)Nc1ccccc1C
COC(=O)C1=CC=C(N(C)C)C=C1 CNc1ccccc1
c1ccccc1S(=O)(=O)NC(=O)NCCCC [O-][N+](=O)c1ccc(C=O)cc1
Clc1ccccc1Cl Cc1ccc(NCCO)cc1O
